object,drug,method,reason,Estimate,SE,IRR,Lower95,Upper95,p_value,prior_mean_log,prior_var_log,shrunken_log_rr,post_se_log,shrunken_irr,lower_ci,upper_ci,z_shrunk,p_shrunk,sig_any
Lisinopril,Oseltamivir Phosphate,poisson_fe,unadjusted,1.40072859180792,0.316677775222469,4.05815562892482,2.18155985854237,7.54901454758977,0.00000972504108290171,0,0.25,0.99970690888109,0.267532738546674,2.71748524093849,1.60856542486867,4.59087701410807,3.73676475750904,0.000186403164076288,TRUE
Lisinopril,Oxaprozin,poisson_fe,unadjusted,0.240663410989006,1.07175082556271,1.27209279078673,0.15567757972888,10.3946892750374,0.822328085782736,0,0.25,0.043017095034544,0.453115931602706,1.04395574115753,0.429518643561258,2.53736038198382,0.0949361786560655,0.924365519872141,FALSE
Lisinopril,Oxazepam,poisson_fe,unadjusted,-0.750419197293043,0.647282212355637,0.472168579458613,0.132775926661678,1.67909328922281,0.246318229261558,0,0.25,-0.280436497872485,0.395693550980125,0.755453915449933,0.347845849763433,1.64069980641359,-0.708721426411549,0.478497365733295,FALSE
Lisinopril,Oxcarbazepine,poisson_fe,unadjusted,0.258870725604874,0.682769700013211,1.29546632337739,0.339813654567594,4.9386861665122,0.704578007848753,0,0.25,0.0903658043139039,0.40339901035818,1.09457461059454,0.496438209211446,2.41337905891907,0.224010971751437,0.822748765946404,FALSE
Lisinopril,Oxybutynin,poisson_fe,unadjusted,-0.115754589800971,0.193224580268373,0.890693781816401,0.609891158071012,1.30078195505505,0.549127791871745,0,0.25,-0.100713707279789,0.180234345489319,0.904191859381041,0.635099865190102,1.28729820833173,-0.558793092439515,0.576302937236947,FALSE
Lisinopril,Oxycodone,poisson_fe,unadjusted,0.0724593329719237,0.0902032932958302,1.07514908208319,0.900919724013161,1.28307275098291,0.421807588135151,0,0.25,0.0701753678033188,0.088770277328122,1.07269628115086,0.901392602209719,1.27655508684456,0.790527752255738,0.429219621276377,FALSE
Lisinopril,Oxymorphone Hydrochloride,poisson_fe,unadjusted,-0.6179565427902,0.855944169711275,0.539044827951544,0.100700238038297,2.88548798097979,0.470319724134583,0,0.25,-0.157218380489721,0.43173586708835,0.854517428505705,0.366623193167064,1.99169078560522,-0.364154086965279,0.715742949838669,FALSE
Lisinopril,Pantoprazole Sodium,poisson_fe,unadjusted,-1.46332716229907,0.0574613806988437,0.231464870956397,0.206810685193427,0.259058116057943,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000466214622550792,0,0.25,-1.44425257041075,0.0570856452964087,0.23592234601533,0.210948672120355,0.263852589304857,-25.2997502771788,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000321450678348767,TRUE
Lisinopril,Paricalcitol,poisson_fe,unadjusted,0.0471314779768618,0.643300715012203,1.04825982310047,0.297084721450931,3.69877202489568,0.941595179577308,0,0.25,0.0177496744192897,0.394778688841295,1.01790813604933,0.469533065525348,2.20673909786548,0.0449610754607506,0.964138334842199,FALSE
Lisinopril,Paroxetine Hydrochloride,poisson_fe,unadjusted,-0.308247666575963,0.225026671471488,0.734733326586161,0.472697352189175,1.14202683534458,0.170740833535884,0,0.25,-0.256328781578517,0.205202564494034,0.773887487010506,0.517613834498625,1.15704373151376,-1.24914999093965,0.21161021906809,FALSE
Lisinopril,Peginterferon Alfa-2A,poisson_fe,unadjusted,1.6281608182971,1.36129087645721,5.09449639240697,0.353465533339949,73.4269427828094,0.231680239490573,0,0.25,0.193541779991145,0.469342248578018,1.21354008718645,0.483661969098401,3.04485288755232,0.412368118526567,0.680069627325749,FALSE
Lisinopril,Penicillin,poisson_fe,unadjusted,0.749841122518833,0.342315427907415,2.1166636996997,1.08209922762417,4.14034600825213,0.0284881688268412,0,0.25,0.51054075956231,0.282460065780727,1.66619196061046,0.957833831727226,2.89841051510647,1.80747943307017,0.0706875586419379,FALSE
Lisinopril,Pentazocine Hydrochloride,poisson_fe,unadjusted,-0.272872848007451,1.27542212338131,0.76118956824619,0.0624930324137169,9.27158655017745,0.830588320136029,0,0.25,-0.036350058135615,0.465507131822444,0.964302672397399,0.387227061219925,2.40138083599649,-0.0780870058710074,0.937758843444421,FALSE
